	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
61	9.470501	0.329885	10.041713	-3.588563	-1.371991	9.341306	2.089466	-3.962249	9.433145	1.132813	-1.364531	-9.808979	1.946423	-5.017126	22.396160	3.116241	1.982128	314.821655	0.464121	27.455639	0.464121	0.464121	0.114168	-0.055943	-0.407152
62	9.530620	1.121834	10.345419	-3.071855	-1.508019	9.537451	2.666291	-3.594244	9.247550	1.486088	-1.111453	-9.535861	1.943238	-4.950705	22.678726	3.580409	2.446296	312.173981	0.464121	26.728792	0.464121	0.464121	0.157133	-0.188566	0.467985
63	9.378310	1.615969	10.400272	-2.572845	-1.711730	9.532640	3.041099	-2.972138	9.109854	1.549876	-0.884383	-9.328331	2.374273	-4.642701	22.682259	4.323595	2.830863	310.244110	0.464121	26.489088	0.464121	0.464121	0.290309	-0.320663	0.289366
64	9.108148	1.679689	10.005782	-2.162508	-1.898842	9.210670	3.212862	-2.517469	9.067343	1.400257	-0.926005	-9.378661	2.894182	-4.308969	22.505232	5.158835	2.112393	308.095612	0.464121	25.774536	0.464121	0.464121	0.158764	-0.320855	0.642333
65	8.953726	1.269618	9.183686	-1.529130	-1.925135	8.691845	3.266826	-2.329011	9.177466	1.095054	-0.993800	-9.569594	2.894466	-4.331919	21.954441	6.180950	1.278305	305.016937	0.464121	25.747278	0.464121	0.464121	0.468084	-0.100316	-0.582064
66	9.195663	0.819400	8.370352	-0.691605	-1.916104	8.154602	3.205206	-2.377231	9.387637	0.707820	-1.007261	-9.626501	2.948552	-4.665312	22.012413	6.769352	0.258566	300.989838	0.464121	25.747278	0.464121	0.464121	0.157967	-0.233088	0.468769
67	9.496815	0.733792	7.905320	0.185899	-2.024166	7.808559	3.054678	-2.262365	9.556286	0.480672	-0.997006	-9.628588	3.026344	-5.200224	22.453196	6.804677	-0.420733	296.670990	0.464121	25.747278	0.464121	0.464121	0.334854	-0.188750	0.469173
68	9.646412	1.015928	7.877952	0.848858	-2.249408	7.762022	2.916156	-2.126057	9.687746	0.472230	-1.167814	-9.745551	2.899685	-5.629498	23.178738	6.636776	-0.647396	293.464752	0.464121	25.747278	0.464121	0.464121	0.335878	-0.321359	-0.760360
69	9.669040	1.463602	8.217213	1.246024	-2.466198	8.124657	2.841609	-2.112082	9.610497	0.606720	-1.317809	-9.829806	2.407999	-6.022243	23.842651	5.856709	-0.157883	289.260773	0.464121	25.747278	0.464121	0.464121	0.203471	0.121500	-0.580396
70	9.477565	1.676729	8.552318	1.345056	-2.594035	8.559417	2.799639	-2.296952	9.443271	0.769392	-1.489014	-9.663232	1.766094	-6.267331	24.162611	5.254865	0.905680	283.853821	0.464121	25.747278	0.464121	0.464121	0.071082	-0.011325	0.296123
71	9.219513	1.785631	8.910590	1.378981	-2.607325	8.965387	2.769037	-2.381897	9.207406	1.039664	-1.803394	-9.414880	1.292758	-6.050704	24.355444	6.828315	1.623164	279.177185	0.464121	25.747278	0.464121	0.464121	0.202634	0.078316	0.469692
72	9.072966	1.746339	9.219663	1.432441	-2.599030	9.153132	2.798524	-2.231081	9.054111	1.204347	-1.976059	-9.356170	1.080441	-5.902011	24.952131	10.097016	1.291216	274.632202	0.464121	25.951456	0.464121	0.464121	0.246989	-0.054458	0.994371
73	9.239723	1.738217	9.548588	1.609469	-2.580426	9.183867	2.954694	-1.744020	9.262192	1.232828	-1.770233	-9.469263	1.197754	-6.046943	25.442587	11.471340	1.469752	268.008087	0.464121	26.610645	0.464121	0.464121	0.114274	-0.234032	-0.758018
74	9.439527	1.754330	9.642617	1.640773	-2.618639	9.119125	3.171877	-1.181383	9.428213	1.307697	-1.456543	-9.582976	1.431339	-5.764440	26.069826	11.001582	1.512150	260.830475	0.464121	26.719707	0.464121	0.464121	0.336503	-0.188683	0.294300
75	9.375416	1.727519	9.382620	1.373644	-2.668060	8.977598	3.300325	-0.841792	9.298807	1.486045	-1.255669	-9.509798	1.511892	-5.080462	26.261263	8.938762	1.512150	254.636429	0.464121	26.915079	0.464121	0.464121	0.110763	-0.276075	1.165061
76	9.089079	1.313398	8.924640	0.772389	-2.574194	8.636611	3.182967	-0.883908	9.038642	1.514397	-1.232470	-9.530784	1.600389	-4.763728	25.513330	5.602126	1.437342	247.848480	0.464121	27.555798	0.464121	0.464121	0.378755	-0.099561	0.293003
77	8.907648	0.539596	8.458776	-0.080667	-2.218489	8.333815	2.993427	-1.324123	9.088697	1.337323	-1.304437	-9.626371	1.729980	-4.588721	23.757584	2.582922	1.264316	240.301682	0.464121	27.692137	0.464121	0.464121	0.378848	-0.277289	-0.233827
78	8.986678	-0.247434	8.255993	-1.008349	-1.777270	8.282632	2.828661	-1.973011	9.301954	1.293171	-1.501413	-9.811305	1.766778	-4.258191	20.752569	0.057916	1.524597	232.431992	0.464121	27.692137	0.464121	0.464121	0.333072	-0.365789	0.465489
79	9.102070	-0.644615	8.287178	-2.021749	-1.419310	8.529078	2.742156	-2.649544	9.384440	1.414944	-1.680393	-9.964532	1.600726	-4.092577	17.777008	-1.572130	1.755198	223.943008	0.464121	27.692137	0.464121	0.464121	0.071072	-0.099782	-0.231099
80	8.954454	-0.703749	8.418970	-2.973745	-1.216022	8.894966	2.628054	-3.120229	9.205841	1.654127	-1.793047	-9.838243	1.318889	-4.152114	15.240357	-1.749713	1.579299	215.299438	0.464121	27.692137	0.464121	0.464121	0.777402	-0.320499	0.114464
81	8.567176	-0.787279	8.461276	-3.702505	-1.078502	9.091942	2.539104	-3.410869	8.865207	1.851917	-1.971180	-9.608829	0.870353	-4.184287	13.653839	-0.722714	1.443054	206.833603	0.464121	27.692137	0.464121	0.464121	0.289362	-0.187703	0.114358
82	8.198688	-1.247239	8.485804	-4.053565	-1.104829	9.002640	2.373568	-3.743737	8.637726	1.889135	-2.306701	-9.637239	0.245887	-4.303420	13.874931	1.772127	1.276295	198.618912	0.464121	27.517323	0.464121	0.464121	0.247646	0.166014	0.297105
83	8.171785	-1.766310	8.479594	-4.091013	-1.154931	8.857211	2.192452	-4.191219	8.756253	1.850892	-2.709732	-9.754288	-0.003468	-4.459485	15.511669	4.125783	1.568031	189.568619	0.464121	26.919725	0.464121	0.464121	0.113709	-0.188272	1.345163
84	8.337800	-2.116904	8.424676	-3.882903	-1.143721	8.902386	2.052287	-4.557715	8.925142	1.801577	-2.958266	-9.802698	0.117222	-4.615551	17.608418	5.195620	2.302687	180.893875	0.464121	26.719707	0.464121	0.464121	0.334569	-0.098724	0.642251
85	8.422835	-2.237712	8.410889	-3.623279	-1.245271	9.185568	1.877738	-4.754466	8.933895	1.794872	-2.985802	-9.607795	0.356313	-4.737893	19.621058	5.843905	3.212387	173.499649	0.464121	26.719707	0.464121	0.464121	0.201436	-0.275716	0.463941
86	8.353761	-2.176831	8.489501	-3.417095	-1.509427	9.477081	1.567941	-4.902337	8.756638	1.716932	-2.796860	-9.331034	0.637460	-4.637190	21.649574	6.956041	3.628603	167.879944	0.464121	26.719707	0.464121	0.464121	0.159016	-0.101609	-0.755518
87	8.189136	-2.182686	8.470633	-3.290835	-1.901663	9.521155	1.119920	-4.803337	8.540028	1.558814	-2.641868	-9.144537	0.955089	-4.225777	23.195223	7.754973	3.307461	162.505066	0.464121	26.719707	0.464121	0.464121	0.380416	-0.010847	0.119336
88	8.178744	-2.261363	8.352293	-3.298466	-2.318063	9.357460	0.741796	-4.366625	8.649219	1.424541	-2.666781	-9.126468	1.387491	-4.103349	23.881268	7.755425	2.432325	157.466690	0.464121	26.562483	0.464121	0.464121	0.335252	0.032970	-0.055524
89	8.469424	-2.222337	8.350267	-3.293342	-2.651547	9.225325	0.657151	-3.787128	8.976707	1.044701	-2.506728	-9.490592	1.544781	-4.408864	23.456362	6.921694	1.770106	152.819016	0.464121	26.001904	0.464121	0.464121	0.423987	-0.276325	0.641987
90	8.763392	-1.820858	8.493748	-3.111014	-2.799914	9.306859	0.821032	-3.336857	9.282734	0.672964	-2.070357	-9.881087	1.544973	-4.778432	22.552958	5.801614	1.846505	148.420074	0.464121	25.747278	0.464121	0.464121	0.157762	0.032438	-0.055194
91	8.837045	-1.019573	8.722658	-2.637597	-2.787513	9.563569	1.191453	-3.033450	9.272969	0.974778	-1.921510	-9.848207	1.785621	-4.726132	21.974545	4.681535	2.104455	142.888306	0.464121	25.747278	0.464121	0.464121	0.246795	-0.231971	0.466766
92	8.775269	-0.327326	8.874882	-1.988951	-2.788991	9.686382	1.568315	-2.801868	8.962905	1.279361	-1.509604	-9.450948	2.049564	-4.496174	21.657751	3.618019	1.830088	136.332825	0.464121	25.747278	0.464121	0.464121	0.379189	-0.142763	1.519223
93	8.681258	-0.382598	8.749399	-1.234072	-2.922410	9.394256	1.752555	-2.391818	8.738379	1.416290	-1.493677	-8.969576	2.664854	-4.132788	21.603575	2.706261	0.873787	131.363464	0.464121	25.747278	0.464121	0.464121	0.290700	-0.320007	0.464156
94	8.607247	-0.997170	8.411027	-0.572912	-3.170225	8.824615	1.740967	-1.797352	8.770519	0.819245	-1.568425	-8.852491	3.375677	-3.744696	21.809498	1.753613	-0.452224	127.242508	0.464121	25.607613	0.464121	0.464121	0.158922	-0.057049	-1.106088
95	8.575689	-1.308471	7.991475	-0.154028	-3.346338	8.324179	1.736763	-1.212930	9.062713	-0.107225	-1.183702	-9.289355	3.694041	-4.187767	21.926182	0.943364	-1.635833	121.943680	0.464121	25.084099	0.464121	0.464121	0.114168	-0.278239	-0.232045
96	8.793109	-0.501499	7.734668	0.008202	-3.227967	8.108678	1.845720	-0.883399	9.201275	-0.014612	-0.792812	-9.570457	3.402573	-4.768669	21.926182	0.449783	-2.346715	115.931610	0.464121	24.774849	0.464121	0.464121	0.290689	-0.233485	0.293425
97	9.244774	0.881304	7.872051	0.007986	-2.814095	8.148628	2.153681	-0.734664	9.115411	0.970991	-0.574380	-9.526411	2.458357	-4.791158	21.875299	0.127306	-2.293769	111.134956	0.464121	24.774849	0.464121	0.464121	0.159209	-0.146062	-0.053033
98	9.493180	1.932335	8.378588	-0.020633	-2.360605	8.350024	2.631096	-0.476365	9.055264	1.789099	-0.408478	-9.522610	1.686139	-4.611115	21.678993	0.000000	-1.724102	107.165428	0.464121	24.902807	0.464121	0.464121	0.379555	-0.188501	-0.408327
99	9.417648	2.137579	8.945460	-0.034362	-1.992217	8.572397	3.040339	-0.098479	9.134366	1.803848	-0.361882	-9.617390	1.892772	-4.336988	21.596752	0.000000	-1.511540	102.950111	0.464121	25.401587	0.464121	0.464121	0.291064	-0.011595	0.295500
100	9.282434	1.540926	9.246420	-0.110286	-1.600210	8.666749	3.135121	0.074336	9.330286	1.094939	-0.404685	-9.769333	2.732365	-4.145934	21.693304	-0.047473	-2.666948	99.377533	0.464121	25.747278	0.464121	0.464121	0.513292	-0.276688	-0.584781
101	9.243644	0.833964	9.185290	-0.192935	-1.156115	8.636801	2.880311	-0.039495	9.570121	0.374684	-0.552802	-9.945549	3.314579	-4.403881	21.453053	-0.421907	-5.004602	96.257965	0.464121	25.747278	0.464121	0.464121	0.380270	-0.143681	-0.057159
102	9.354743	0.581410	8.970089	-0.149807	-0.755281	8.630235	2.345372	-0.157769	9.699068	0.199546	-0.772726	-10.001188	3.236112	-4.907594	21.305708	-1.264922	-7.346911	91.951286	0.464121	25.631010	0.464121	0.464121	0.246414	-0.012216	0.471912
103	9.518428	0.766022	8.794601	-0.032759	-0.488196	8.829837	1.672052	-0.158773	9.576997	0.454995	-0.948549	-9.834156	2.712995	-5.239062	21.902607	-1.616646	-8.590369	86.201279	0.464121	25.156990	0.464121	0.464121	0.248113	-0.188653	-0.231897
104	9.443707	1.153223	8.564526	0.070830	-0.412994	9.158550	1.049210	-0.179194	9.322835	0.652382	-1.128105	-9.587960	2.187544	-5.447601	22.530155	-1.157426	-9.006660	80.745445	0.464121	24.774849	0.464121	0.464121	0.555806	-0.230746	0.640011
105	9.114558	1.389844	8.368070	0.114147	-0.518583	9.367883	0.545151	-0.280347	9.166904	0.541076	-1.331921	-9.466679	1.926159	-5.716413	22.682259	-0.257960	-9.266915	76.190063	0.464121	24.667337	0.464121	0.464121	0.201962	-0.543121	0.289488
106	8.907871	1.192114	8.331290	0.091396	-0.738653	9.374692	0.258193	-0.371900	9.175628	0.313971	-1.585254	-9.483168	1.883851	-6.025800	22.600929	1.297564	-8.271901	70.772934	0.464121	24.107302	0.464121	0.464121	0.114337	-0.145446	-0.581103
107	8.988234	0.727333	8.329563	0.068902	-0.976995	9.237777	0.243888	-0.354663	9.260195	0.201655	-1.900728	-9.506450	1.939390	-6.209615	22.251638	2.927205	-6.308426	64.804390	0.464121	23.248577	0.464121	0.464121	0.202833	-0.145367	0.120289
108	9.128325	0.276222	8.412638	0.125954	-1.124997	9.114805	0.309959	-0.229590	9.461311	0.207617	-2.150798	-9.557540	2.058425	-6.170637	22.002972	3.530218	-5.581080	59.928120	0.464121	22.829990	0.464121	0.464121	0.468864	-0.054063	-0.058530
109	9.246114	0.113246	8.618049	0.282389	-1.126055	9.149240	0.406401	-0.077049	9.785570	0.195115	-2.255794	-9.761520	2.198543	-6.072078	22.417141	3.119599	-6.012483	55.021172	0.464121	22.829990	0.464121	0.464121	-0.018029	0.030246	-0.400735
110	9.368452	0.526684	8.794755	0.441098	-1.024360	9.301528	0.715130	0.086817	9.960267	0.280822	-2.196905	-9.995749	2.259331	-5.974291	23.199986	2.542700	-5.872785	49.444672	0.464121	22.829990	0.464121	0.464121	0.024464	-0.144091	0.467662
111	9.300021	1.500164	8.841791	0.487967	-0.994734	9.407438	1.124981	0.251936	9.750937	0.566647	-1.670761	-9.915145	2.330384	-5.636237	24.041719	1.760989	-4.796062	44.801216	0.464121	22.829990	0.464121	0.464121	0.292222	0.077878	-0.230513
112	9.041219	2.348648	8.800734	0.337187	-1.181692	9.335486	1.363815	0.407454	9.194410	0.834973	-0.703140	-9.430273	2.586802	-4.990361	24.504726	0.817823	-3.695529	41.464977	0.464121	22.829990	0.464121	0.464121	0.335767	-0.010745	-0.231943
113	8.889901	2.646588	8.729541	0.023758	-1.599333	8.992457	1.399772	0.498805	8.693972	0.924179	0.129488	-9.018705	3.105474	-4.242122	24.086191	-0.269527	-3.014264	38.499611	0.464121	22.745808	0.464121	0.464121	0.114434	0.078624	-0.057587
114	9.021254	2.520676	8.691085	-0.320782	-2.132328	8.494595	1.531727	0.586182	8.669318	0.798870	0.666826	-9.017644	3.895712	-3.659101	23.150118	-1.137056	-2.709451	35.293888	0.464121	22.339991	0.464121	0.464121	0.115695	0.119485	-0.575476
115	9.197415	2.118508	8.700635	-0.610809	-2.488379	7.993890	1.930530	0.673900	8.910461	0.593877	0.875909	-9.160657	4.723956	-3.200185	22.030043	-1.420766	-3.111536	32.408241	0.464121	21.857561	0.464121	0.464121	0.158881	-0.189033	-0.231542
116	9.251459	1.517552	8.748580	-0.723008	-2.464750	7.531437	2.551456	0.754433	9.032419	0.441144	0.858738	-9.315799	4.985761	-2.898410	20.939293	-0.903299	-4.040520	30.487453	0.464121	21.782114	0.464121	0.464121	0.471173	-0.144969	-1.106591
117	9.233397	0.940101	8.806653	-0.540189	-2.162838	7.251862	3.075866	0.660765	9.081271	0.358408	0.825709	-9.487306	4.687176	-3.045201	20.026129	-0.046533	-5.076006	28.566658	0.464121	21.394928	0.464121	0.464121	0.381198	-0.097490	0.115756
118	9.222731	0.499772	8.782691	-0.106004	-1.763929	7.524199	3.181040	0.329062	9.090244	0.528390	0.604486	-9.550083	4.167808	-3.242062	19.481653	0.147600	-5.670565	26.506624	0.464121	20.885132	0.464121	0.464121	0.290375	-0.320072	-0.413391
119	9.129038	0.170238	8.710515	0.351182	-1.428975	8.268341	2.799519	-0.195644	8.985947	0.839481	0.294632	-9.541681	3.493932	-3.202610	19.331789	-0.371447	-5.774307	23.702896	0.464121	20.818419	0.464121	0.464121	0.380098	-0.010471	-0.056915
120	9.088726	0.098822	8.629176	0.520920	-1.345760	9.062333	2.276625	-0.793263	8.925480	1.065085	0.061833	-9.740068	2.818282	-3.225358	19.593529	-0.925282	-6.372198	19.861330	0.464121	20.449881	0.464121	0.464121	0.200819	-0.453313	0.462144
121	9.105919	0.029412	8.671496	0.214303	-1.365427	9.392343	2.022173	-1.365815	9.140739	1.140767	-0.118653	-10.059176	2.424447	-3.296286	19.894009	-1.086764	-7.230001	16.202444	0.464121	19.912704	0.464121	0.464121	0.292175	0.166596	0.296272
122	9.142580	-0.243704	8.871290	-0.490398	-1.407129	9.407797	2.089134	-1.768367	9.439391	1.268940	-0.360859	-10.275082	2.277149	-3.377664	19.842613	-0.697159	-6.569826	13.545136	0.464121	19.970699	0.464121	0.464121	0.469244	-0.097786	-0.235104
123	9.171858	-0.449870	9.094802	-1.428185	-1.397639	9.371620	2.305685	-1.862746	9.596556	1.457556	-0.713043	-10.383782	2.153818	-3.364362	20.237394	0.543303	-4.316350	12.289924	0.464121	20.320591	0.464121	0.464121	0.025952	-0.054923	0.292913
124	9.234942	-0.457727	9.323031	-2.350716	-1.311382	9.438066	2.574794	-1.735483	9.670111	1.527987	-0.903628	-10.544966	1.772504	-3.409133	20.724072	2.523415	-1.965325	11.160841	0.464121	20.885132	0.464121	0.464121	0.293410	0.032349	-0.403563
125	9.451957	-0.509213	9.433857	-2.974803	-1.279852	9.597830	2.633003	-1.716703	9.900204	1.617835	-0.951936	-10.787090	1.345196	-3.764741	21.189264	4.386265	-0.679696	11.160841	0.464121	20.885132	0.464121	0.464121	0.290783	-0.321071	-0.059781
126	9.744694	-0.287735	9.467772	-3.088314	-1.181380	9.702754	2.624667	-1.849359	10.082896	1.705804	-0.891109	-11.039440	1.356518	-3.773308	21.390141	5.238443	-0.090139	11.114468	0.464121	20.885132	0.464121	0.464121	0.377686	-0.229574	1.864488
127	9.778647	0.114939	9.581537	-2.794342	-1.149676	9.671644	2.649556	-1.921156	10.081367	1.552335	-0.709825	-10.856379	1.596504	-3.423847	22.159430	4.825614	-0.789454	10.789473	0.464121	20.885132	0.464121	0.464121	0.335664	0.167514	0.469933
128	9.588580	0.237030	9.557384	-2.412422	-1.065287	9.619844	2.565196	-1.768320	9.873239	1.244985	-0.565161	-10.610648	1.930057	-3.506612	23.326164	3.829460	-2.469243	10.188412	0.464121	20.885132	0.464121	0.464121	0.513100	-0.055191	-0.232562
129	9.563619	0.240090	9.366893	-2.096456	-1.028554	9.520688	2.229054	-1.514801	9.813098	1.018538	-0.262988	-10.444342	2.419488	-4.256379	23.679098	2.946593	-3.524969	10.188412	0.464121	20.885132	0.464121	0.464121	0.159832	-0.143524	0.819814
130	9.783587	0.273451	9.216206	-1.929088	-1.184073	9.522100	1.751515	-1.148389	9.853526	0.849486	0.144124	-10.250396	3.159657	-4.068810	23.438332	1.813003	-3.633140	10.153648	0.464121	20.885132	0.464121	0.464121	0.069234	-0.145288	0.294977
131	10.025846	0.414485	9.166438	-1.815923	-1.438379	9.534291	1.246642	-0.752508	9.906029	0.775191	0.541444	-10.265465	3.685637	-3.177841	23.450718	0.588650	-3.284552	9.789845	0.464121	20.885132	0.464121	0.464121	0.114125	-0.190093	-0.230096
132	10.183936	0.729789	9.180729	-1.731158	-1.548041	9.557840	0.994683	-0.403194	9.984060	0.677467	0.974673	-10.445077	3.999791	-2.978836	23.564953	-0.631278	-3.173439	8.564571	0.464121	20.885132	0.464121	0.464121	0.335166	-0.277542	0.467994
133	10.288512	1.118076	9.231429	-1.651524	-1.511659	9.532354	1.069023	-0.221915	10.062091	0.736946	1.290287	-10.574597	4.250903	-3.175528	23.806238	-1.144245	-3.678872	7.297186	0.464121	20.885132	0.464121	0.464121	0.379860	-0.144437	-0.232184
134	10.453185	1.219007	9.298031	-1.384076	-1.327068	9.454322	1.281199	-0.076341	10.141065	0.884421	1.616725	-10.643080	4.457469	-3.111686	23.678843	-1.262636	-4.525971	7.555395	0.464121	20.885132	0.464121	0.464121	0.424096	-0.098860	0.468120
135	10.599440	1.143707	9.349871	-1.084225	-1.147823	9.378758	1.469975	0.062241	10.230275	0.943323	1.686593	-10.716453	4.385811	-2.805528	23.198513	-1.628121	-5.408497	7.945243	0.464121	20.885132	0.464121	0.464121	0.290052	-0.275038	0.990020
136	10.628238	0.865915	9.441649	-0.938488	-0.928886	9.341261	1.696566	0.218197	10.337809	1.006456	1.659207	-10.849257	4.280091	-2.688481	22.569841	-1.883436	-5.670565	7.271124	0.464121	20.902500	0.464121	0.464121	0.335941	-0.099586	-0.583070
137	10.651931	0.526669	9.591885	-0.945094	-0.790099	9.470345	1.814790	0.226915	10.446676	0.994211	1.659795	-10.928465	4.476107	-2.574961	22.304220	-1.775699	-5.659313	7.256653	0.464121	21.150688	0.464121	0.464121	-0.017319	-0.056707	-0.930546
138	10.748445	0.406147	9.810390	-1.070677	-0.791509	9.817255	1.951731	0.039600	10.586851	1.119964	1.669742	-11.025920	4.334633	-2.527468	22.308720	-1.406842	-5.455447	6.988662	0.464121	21.586676	0.464121	0.464121	0.071215	-0.057791	-0.577563
139	10.830545	0.664902	9.899254	-1.174514	-0.824115	10.071641	2.104042	-0.202317	10.574925	1.210502	1.688079	-11.127994	4.063510	-2.734575	22.412725	-1.127363	-4.812733	6.028267	0.464121	20.876451	0.464121	0.464121	0.379797	-0.187682	0.116359
140	10.705234	1.136587	9.675385	-1.147289	-0.971831	10.010303	2.122299	-0.367585	10.496508	1.410873	1.659207	-11.049106	3.879599	-3.070888	22.883160	-0.930962	-4.536451	5.067876	0.464121	20.632528	0.464121	0.464121	0.336192	0.077686	-0.932054
141	10.627355	1.263102	9.432258	-1.216053	-1.216053	9.757719	2.063619	-0.523337	10.351467	1.390862	1.658620	-10.884167	3.716107	-3.032577	23.629877	-0.091844	-4.535326	4.110374	0.464121	19.912704	0.464121	0.464121	-0.107927	-0.455224	-0.060124
142	10.783419	0.950973	9.440250	-1.517372	-1.517372	9.530208	1.937169	-0.543550	10.445486	0.942881	1.611610	-10.871948	4.041406	-3.049972	24.376596	0.938265	-4.445356	3.381408	0.464121	19.912704	0.464121	0.464121	0.425254	-0.278057	-0.757349
143	10.920683	0.704649	9.586917	-1.926343	-1.813525	9.653838	1.762299	-0.476328	10.835654	0.539079	1.435329	-11.076434	4.730548	-3.263859	25.033365	1.595032	-4.071990	3.381408	0.464121	19.912704	0.464121	0.464121	0.425554	0.121761	-0.228933
144	11.036586	0.681607	9.722900	-2.328815	-1.780096	10.040666	1.528944	-0.358506	11.197965	0.503388	1.252562	-11.393703	4.716905	-3.508382	25.587921	1.794274	-3.609803	3.152912	0.464121	19.912704	0.464121	0.464121	0.379302	-0.143557	1.169810
145	11.212735	0.691650	9.907336	-2.492422	-1.581174	10.439990	1.368160	-0.410528	11.436643	0.690046	0.895077	-11.871476	4.072420	-3.666667	26.518440	1.522779	-2.870169	2.436318	0.464121	21.266159	0.464121	0.464121	0.246139	-0.410880	-0.760909
146	11.183219	0.598860	10.055465	-2.481608	-1.208448	10.795692	1.491578	-0.701277	11.512906	1.074155	0.591498	-11.994530	3.265347	-3.759414	26.913057	1.512150	-2.296568	2.408979	0.464121	30.204250	0.464121	0.464121	0.246799	-0.053813	0.466316
147	11.006298	0.329710	10.173993	-2.277560	-0.825038	10.933514	1.803747	-1.171339	11.460132	1.272851	0.232560	-11.980771	2.768280	-3.697366	27.115570	1.512150	-2.353648	2.408979	0.464121	48.946823	0.464121	0.464121	0.335274	-0.277864	0.644140
148	10.791589	-0.291883	10.255809	-2.016957	-0.708945	11.070110	2.100192	-1.549439	11.438813	1.290754	-0.054916	-12.007277	2.508633	-3.739717	26.609058	1.512150	-2.625005	2.192158	0.464121	65.239082	0.464121	0.464121	0.380119	-0.277307	-0.057696
149	10.739243	-0.777293	10.216986	-1.771941	-0.691558	11.169971	2.239264	-1.831256	11.391295	1.448280	-0.260540	-12.000808	2.337208	-3.707364	25.531464	1.428983	-2.646263	1.286418	0.464121	80.232704	0.464121	0.464121	0.290211	-0.142875	0.465682
150	10.674508	-0.779713	10.115829	-1.509993	-0.821821	11.260843	2.435599	-2.014832	11.422536	1.440740	-0.247020	-11.998673	2.170437	-3.599769	24.411385	1.244492	-2.482198	0.537036	0.464121	92.539764	0.464121	0.464121	0.113285	0.164861	0.999473
151	10.510422	-0.419109	9.946543	-1.230662	-1.152233	11.122259	2.839568	-2.268368	11.444643	1.865521	-0.508934	-12.129237	1.922889	-3.238503	23.291300	1.561161	-1.792167	0.464121	0.464121	101.284767	0.464121	0.464121	0.424141	-0.321267	-0.409821
152	10.299661	-0.485498	9.839500	-0.834819	-1.511713	10.785116	3.501188	-2.617851	11.412292	2.476804	-0.620970	-12.294985	1.225220	-2.777967	22.011686	2.094056	-1.284751	0.464121	0.464121	111.808212	0.464121	0.464121	0.335856	-0.233464	0.119077
153	10.160842	-0.789407	9.719118	-0.451611	-1.857087	10.304633	4.262193	-2.979661	11.422583	2.745049	-0.689604	-12.339414	0.735245	-2.436660	20.215734	2.986000	-1.630449	0.464121	0.464121	124.253380	0.464121	0.464121	0.070288	-0.144330	0.118587
154	10.142004	-1.304573	9.389915	0.004362	-2.056335	9.848565	4.967075	-3.281192	11.617520	2.857102	-0.909904	-12.609792	0.514149	-2.190343	18.348936	3.437320	-2.493200	0.464121	0.464121	140.278137	0.464121	0.464121	0.247384	-0.055616	-0.582302
155	10.297147	-1.894206	9.199245	0.448614	-2.214198	9.505383	5.559467	-3.631433	11.964208	3.143460	-1.039394	-13.128452	0.246384	-1.932301	16.405748	3.734306	-3.901601	0.464121	0.464121	157.455994	0.464121	0.464121	0.600780	-0.274970	0.814735
156	10.700784	-2.223712	9.446633	0.774887	-2.452326	9.448988	6.271198	-4.001052	12.473682	3.595443	-1.016587	-13.716740	-0.115969	-1.603463	14.437394	3.855618	-5.395035	0.464121	0.464121	175.517273	0.464121	0.464121	0.114253	-0.453170	0.112936
157	11.348144	-2.114964	10.185051	0.933641	-2.650031	9.861826	7.212865	-4.346784	13.055776	4.143933	-0.982463	-14.413256	-0.680405	-1.340361	13.316691	4.031142	-6.666141	0.464121	0.464121	196.135452	0.464121	0.464121	0.335648	-0.010513	0.293924
