	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
28	9.534262	2.240115	10.664023	-5.923256	-1.575475	9.564137	2.185478	-4.510234	9.912389	1.437534	-0.957559	-9.985684	2.104510	-5.275037	21.209524	5.648345	6.060376	266.003723	0.464121	118.114433	0.464121	0.464121	0.511688	-0.273647	0.987176
29	9.488804	1.304003	10.079867	-5.044396	-0.172352	9.365788	2.747673	-4.234666	9.732635	1.259787	-1.069713	-9.890224	2.550018	-4.968449	21.438749	1.978132	2.325068	275.949341	0.464121	111.387245	0.464121	0.464121	0.291069	-0.057609	-0.754072
30	9.523330	0.742173	9.419473	-3.774832	0.697929	9.114023	3.199416	-3.503144	9.397940	1.086068	-1.244653	-9.574390	2.874426	-4.676783	20.801889	-2.632042	-1.094390	284.764923	0.464121	105.290817	0.464121	0.464121	0.291524	-0.275941	0.992422
31	9.563765	0.822725	9.065922	-2.567347	0.652503	8.986420	3.399327	-2.772715	9.329363	0.826508	-1.115153	-9.490954	3.119236	-4.341503	19.553188	-6.955035	-3.903350	291.888397	0.464121	99.757278	0.464121	0.464121	0.422883	-0.189576	0.119030
32	9.583980	1.378184	9.094619	-1.909219	-0.243362	8.971071	3.440381	-2.323439	9.479312	0.621314	-0.669546	-9.643858	3.424333	-4.218213	18.512705	-10.123044	-5.237597	297.650787	0.464121	95.525635	0.464121	0.464121	0.292026	0.033572	0.645793
33	9.616330	1.925416	9.361066	-1.974981	-1.523594	9.000915	3.440230	-2.333371	9.666226	0.709911	-0.182526	-9.790558	3.831681	-4.283589	18.241480	-11.787014	-5.288462	303.331116	0.464121	90.037857	0.464121	0.464121	0.291893	-0.233331	-1.109431
34	9.619608	2.199109	9.575948	-2.482457	-2.879848	9.098359	3.336684	-2.636249	9.682549	0.951020	-0.071324	-9.735538	4.273973	-4.335587	18.769855	-12.379992	-4.945238	308.455902	0.464121	81.554016	0.464121	0.464121	0.335066	0.034405	1.521025
35	9.605886	2.162500	9.650200	-2.876228	-3.957087	9.260612	2.998028	-2.695290	9.631301	0.945749	-0.277460	-9.580535	4.633998	-4.388469	19.736710	-12.153288	-5.039253	312.317261	0.464121	72.966805	0.464121	0.464121	0.379540	-0.056396	0.471466
36	9.634438	1.991560	9.576682	-2.792023	-4.428360	9.439281	2.550001	-2.571402	9.705708	0.697428	-0.496900	-9.416871	4.782896	-4.602182	20.605814	-10.560714	-4.789293	315.198486	0.464121	65.891235	0.464121	0.464121	0.202240	-0.099365	0.643735
37	9.651654	1.766499	9.480857	-2.259478	-4.207942	9.581535	2.186776	-2.491666	9.721773	0.426512	-0.454921	-9.345210	4.663461	-4.915545	21.428993	-7.908864	-3.487937	317.939087	0.464121	60.072769	0.464121	0.464121	0.468287	0.032588	-0.405360
38	9.565697	1.586703	9.423560	-1.487366	-3.737015	9.609608	1.873212	-2.501457	9.535466	0.289180	-0.335725	-9.193602	4.495887	-5.120394	22.173004	-4.031929	-1.475090	319.934174	0.464121	55.203453	0.464121	0.464121	0.601531	-0.099139	-0.408264
39	9.385984	1.716126	9.373389	-0.744234	-3.269512	9.580725	1.546426	-2.482352	9.295684	0.272693	-0.398724	-9.034114	4.374747	-5.014187	23.486816	0.348206	0.571320	320.830200	0.464121	50.031963	0.464121	0.464121	0.558350	-0.187857	-0.583790
40	9.179635	2.020488	9.196024	0.010107	-2.908093	9.475941	1.196997	-2.367304	9.175134	0.189889	-0.615338	-9.039384	4.166905	-4.777806	25.097614	4.048377	2.296853	321.427185	0.464121	44.571491	0.464121	0.464121	0.158514	-0.055219	1.171419
41	9.132043	2.285984	8.848919	0.815890	-2.852406	9.352240	1.181501	-2.191973	9.230801	0.162045	-0.712181	-9.073881	3.903307	-4.953117	26.481853	6.227129	4.020181	321.842926	0.464121	38.996586	0.464121	0.464121	0.469144	0.210612	0.648585
42	9.250598	2.561261	8.611857	1.430215	-3.079067	9.104541	1.711540	-2.014258	9.306524	0.282153	-0.556819	-9.084425	3.698533	-5.430958	26.516956	7.390438	6.382845	322.858917	0.464121	32.958508	0.464121	0.464121	0.334774	-0.232526	0.818433
43	9.383217	2.667624	8.448485	1.734484	-3.412795	8.699496	2.795990	-2.024553	9.290078	0.513515	-0.344404	-9.162457	3.586936	-5.706817	25.178070	8.840080	9.380917	324.164215	0.464121	29.236525	0.464121	0.464121	0.600557	-0.274556	0.638667
44	9.438013	2.427748	8.514254	1.613153	-3.711930	8.289375	4.184401	-2.399559	9.329336	0.882317	-0.463818	-9.250592	3.425962	-5.538911	24.096666	10.780535	11.548741	325.696564	0.464121	28.714306	0.464121	0.464121	0.157709	-0.100649	0.295233
45	9.516046	1.947752	8.803499	1.467910	-3.814547	8.127352	5.442872	-2.839950	9.398052	1.200994	-0.892799	-9.403774	3.116325	-5.094519	23.326117	12.339828	11.299577	326.610138	0.464121	29.000023	0.464121	0.464121	0.025198	0.208152	0.300807
46	9.581600	1.548369	9.329022	1.494137	-3.775531	8.256611	6.328095	-3.272759	9.448279	1.132186	-1.253190	-9.644022	2.734319	-4.725414	23.350431	12.349847	9.703584	327.200287	0.464121	29.263834	0.464121	0.464121	0.114092	-0.276735	0.993188
47	9.550284	1.371282	10.053689	1.700249	-3.738179	8.518077	6.709004	-3.404149	9.540359	0.864371	-1.292200	-9.729748	2.386821	-4.886806	23.784536	11.073473	8.411293	327.200287	0.464121	28.705509	0.464121	0.464121	0.512457	-0.319811	-0.061927
48	9.302638	1.197879	10.622643	1.727263	-3.721185	8.678730	6.530828	-3.305683	9.343687	0.771334	-1.300718	-9.567106	2.248549	-5.393572	23.525623	9.457981	6.688512	327.200287	0.464121	29.019505	0.464121	0.464121	0.070379	-0.101307	0.472754
49	9.003263	1.052799	10.689156	1.480642	-3.783710	8.568713	5.868962	-3.447913	9.055392	0.992698	-1.426242	-9.440252	2.073004	-5.469207	22.898573	7.724497	4.848279	327.165192	0.464121	29.672081	0.464121	0.464121	0.113926	0.165744	-0.229425
50	8.868010	0.648857	10.111762	0.916938	-3.907069	8.270144	4.911179	-3.811670	8.929420	1.346234	-1.676870	-9.429305	1.721860	-5.214651	22.407951	6.243561	3.753204	326.863586	0.464121	29.941561	0.464121	0.464121	0.644810	-0.276286	0.115534
51	8.946597	0.013735	9.204134	0.288564	-3.859185	8.017221	3.859012	-4.246356	8.947361	1.497625	-2.036454	-9.415483	1.383779	-5.218213	21.787457	4.887715	2.942394	326.198639	0.464121	30.281811	0.464121	0.464121	0.422979	-0.274996	0.463313
52	9.094112	-0.651242	8.383174	-0.453257	-3.658804	7.969537	2.679425	-4.555320	9.033385	1.454889	-2.371060	-9.437404	1.180071	-5.255606	21.424322	3.900543	3.162005	325.883057	0.464121	29.636995	0.464121	0.464121	0.203092	-0.145150	0.295875
53	9.149624	-0.793916	7.749308	-1.287889	-3.343348	8.443048	1.607265	-4.651134	9.172965	1.284241	-2.545856	-9.387603	1.332804	-5.364952	21.161018	3.300236	4.398973	324.899292	0.464121	29.613617	0.464121	0.464121	0.468796	-0.098301	0.467418
54	8.983142	-0.504688	7.518967	-2.182479	-3.182299	9.048027	0.757655	-4.524900	9.140330	0.966964	-2.497270	-9.230709	1.646593	-5.499230	21.053370	3.257774	4.938342	323.641541	0.464121	29.316259	0.464121	0.464121	0.114173	-0.454432	0.290622
55	8.816467	-0.036884	7.563679	-3.148618	-2.954552	9.409729	0.248374	-4.190829	8.957673	0.604884	-2.112431	-9.065784	1.982140	-5.705246	20.798883	3.773562	5.260883	321.738281	0.464121	28.390926	0.464121	0.464121	0.468526	-0.188007	-0.584496
56	8.777018	0.281084	7.694601	-3.973634	-2.544679	9.368773	-0.009085	-4.094681	8.815916	0.505086	-1.678168	-8.916656	2.369927	-5.647201	20.901720	3.670725	6.146897	320.111237	0.464121	27.974194	0.464121	0.464121	0.335597	-0.188239	0.468227
57	8.900173	0.357513	8.069106	-4.382232	-2.131336	9.127505	0.010069	-4.023705	8.757038	0.705323	-1.663581	-8.892881	2.712411	-5.258465	21.174648	3.397797	6.196256	319.409149	0.464121	28.664566	0.464121	0.464121	0.290342	-0.230903	1.516938
58	8.940256	0.178646	8.529728	-4.547214	-1.860357	8.939900	0.242467	-3.890619	8.908556	0.801173	-1.765580	-8.989701	2.858508	-4.905796	21.276081	3.299771	5.246670	319.148254	0.464121	28.655806	0.464121	0.464121	0.247102	-0.188439	0.644584
59	9.010909	-0.118267	9.065722	-4.368552	-1.647198	8.999849	0.733256	-3.863497	9.237818	0.840901	-1.695876	-9.379389	2.688649	-4.793982	21.649441	3.024301	3.757777	318.182037	0.464121	28.409847	0.464121	0.464121	0.733633	-0.319708	0.113404
60	9.205818	-0.144618	9.572459	-4.007191	-1.550212	9.136735	1.406154	-3.969619	9.451063	0.910325	-1.539574	-9.786820	2.270160	-5.046653	22.022800	3.025436	2.456433	316.976044	0.464121	27.689217	0.464121	0.464121	0.113932	-0.187944	0.116515
