	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d
	LEFT FOOT ON	RIGHT FOOT ON	ANALOGTIME	FRAMES	TIME
	EVENT_LABEL	EVENT_LABEL	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
629			4.239	629	4.239
630			4.24575	630	4.24575
631			4.2525	631	4.2525
632			4.25925	632	4.25925
633			4.266	633	4.266
634			4.27275	634	4.27275
635			4.2795	635	4.2795
636			4.28625	636	4.28625
637			4.293	637	4.293
638			4.29975	638	4.29975
639			4.3065	639	4.3065
640			4.31325	640	4.31325
641			4.32	641	4.32
642			4.32675	642	4.32675
643			4.3335	643	4.3335
644			4.34025	644	4.34025
645			4.347	645	4.347
646			4.35375	646	4.35375
647			4.3605	647	4.3605
648			4.36725	648	4.36725
649			4.374	649	4.374
650			4.38075	650	4.38075
651			4.3875	651	4.3875
652			4.39425	652	4.39425
653			4.401	653	4.401
654			4.40775	654	4.40775
655			4.4145	655	4.4145
656			4.42125	656	4.42125
657			4.428	657	4.428
658			4.43475	658	4.43475
659			4.4415	659	4.4415
660			4.44825	660	4.44825
661			4.455	661	4.455
662			4.46175	662	4.46175
663			4.4685	663	4.4685
664			4.47525	664	4.47525
665			4.482	665	4.482
666			4.48875	666	4.48875
667			4.4955	667	4.4955
668			4.50225	668	4.50225
669			4.509	669	4.509
670			4.51575	670	4.51575
671			4.5225	671	4.5225
672			4.52925	672	4.52925
673			4.536	673	4.536
674			4.54275	674	4.54275
675			4.5495	675	4.5495
676			4.55625	676	4.55625
677			4.563	677	4.563
678			4.56975	678	4.56975
679			4.5765	679	4.5765
680			4.58325	680	4.58325
681			4.59	681	4.59
